	Label	Genotype	Block	Line	Frost	Time.Genotype	3DA_epi	3DA_luti	Total_Flavonoids
RI1	RI-1	1	1	N337	Before	Before.1	1.057	0.9065	0.84
RI2	RI-2	2	1	N326	Before	Before.2	0.35	0.2905	0.777
RI3	RI-3	3	1	N334	Before	Before.3	1.281	1.0185	1.0222
RI4	RI-4	4	1	N321	Before	Before.4	0.147	0.1085	0.588
RI5	RI-5	5	1	N336	Before	Before.5	1.316	1.3125	1.281
RII1	RII-1	2	2	N326	Before	Before.1	0.875	0.6965	1.225
RII2	RII-2	3	2	N334	Before	Before.2	0.182	0.1435	0.763
RII3	RII-3	4	2	N321	Before	Before.3	3.731	3.2515	2.625
RII4	RII-4	5	2	N336	Before	Before.4	0.126	0.1015	0.245
RII5	RII-5	1	2	N337	Before	Before.5	0.791	0.6405	1.057
RIII1	RIII-1	2	3	N326	Before	Before.1	2.226	2.0055	2.016
RIIIi2	RIII-2	5	3	N336	Before	Before.2	0.112	0.0805	0.728
RIIIi3	RIII-3	3	3	N334	Before	Before.3	4.774	4.3785	2.079
RIII4	RIII-4	1	3	N337	Before	Before.4	0.154	0.1295	0.504
RIII5	RIII-5	4	3	N321	Before	Before.5	0.798	0.6825	1.169
RIV1	RIV-1	5	4	N336	Before	Before.1	1.897	1.7395	1.386
RIV2	RIV-2	4	4	N321	Before	Before.2	0.084	0.0525	0.784
RIV3	RIV-3	1	4	N337	Before	Before.3	3.332	2.7125	2.758
RIV4	RIV-4	2	4	N326	Before	Before.4	0.161	0.1225	0.931
RIV5	RIV-5	3	4	N334	Before	Before.5	0.511	0.4655	1.246
RI-4A	RI-N321-4	4	1	N321	After	After.4	1.183	1.0815	0.287
RII-4A	RII-N321-3	4	2	N321	After	After.4	1.575	1.4515	0.266
RIII-4A	RIII-N321-5	4	3	N321	After	After.4	0.378	0.3255	0.329
RIV-4A	RIV-N321-2	4	4	N321	After	After.4	3.857	3.6715	0.238
RI-3A	RI-N334-3	3	1	N334	After	After.3	2.506	2.3415	0.665
RII-3A	RII-N334-2	3	2	N334	After	After.3	1.008	0.9275	0.644
RIII-3A	RIII-N334-5	3	3	N334	After	After.3	1.953	1.7675	0.693
RIV-3A	RIV-N334-5	3	4	N334	After	After.3	1.456	1.3475	0.686
RI-2A	RI-N326-2	2	1	N326	After	After.2	0.455	0.3885	0.294
RII-2A	RII-N326-1	2	2	N326	After	After.2	0.798	0.6965	0.112
RIII-2A	RIII-N326-1	2	3	N326	After	After.2	0.959	0.8645	0.224
RIV-2A	RIV-N326-4	2	4	N326	After	After.2	0.644	0.5705	0.266
RI-5A	RI-N336-5	5	1	N336	After	After.5	2.961	2.7965	0.189
RII-5A	RII-N336-4	5	2	N336	After	After.5	1.554	1.4735	0.266
RIII-5A	RIII-N336-2	5	3	N336	After	After.5	2.226	2.1665	0.392
RIV-5A	RIV-N336-1	5	4	N336	After	After.5	5.733	5.7505	0.322
RI-1A	RI-N337-1	1	1	N337	After	After.1	2.737	2.5025	0.588
RII-1A	RII-N337-5	1	2	N337	After	After.1	1.701	1.4525	0.616
RIII-1A	RIII-N337-4	1	3	N337	After	After.1	2.674	2.3905	0.609
RIV-1A	RIV-N337-3	1	4	N337	After	After.1	1.792	1.5925	0.644
